Date,Crew_ID,Crew_Count,Hours_Worked,Units_Installed,Fatigue_Score,Superintendent_Notes,Safety_Incident,Rework_Cost
2024-11-22,Drywall-A,5,13,43,4,"Waiting on RFI response, crew standing around.",1,1792
2024-11-23,Drywall-A,8,8,109,3,"Ahead of schedule, inspection passed.",0,0
2024-11-24,Drywall-A,8,9,118,2,"Team is in good rhythm, no safety issues.",0,0
2024-11-25,Drywall-A,6,9,106,1,"Great weather, slab pour went perfectly.",0,0
2024-11-26,Drywall-A,7,9,103,0,"Great weather, slab pour went perfectly.",0,0
2024-11-27,Drywall-A,7,13,54,2,"Waiting on RFI response, crew standing around.",1,3110
2024-11-28,Drywall-A,7,8,103,1,"Crew moving fast, materials arrived on time.",0,0
2024-11-29,Drywall-A,6,8,83,1,"Weather overcast, work continuing.",0,0
2024-11-30,Drywall-A,7,8,118,0,"Team is in good rhythm, no safety issues.",0,0
2024-12-01,Drywall-A,6,9,100,0,"Crew size normal, steady pace.",0,0
2024-12-02,Drywall-A,8,13,47,2,"Crew exhausted from overtime, morale is low.",0,4191
2024-12-03,Drywall-A,8,8,117,1,"Crew moving fast, materials arrived on time.",0,0
2024-12-04,Drywall-A,5,9,110,0,"Great weather, slab pour went perfectly.",0,0
2024-12-05,Drywall-A,5,9,116,0,"Great weather, slab pour went perfectly.",0,0
2024-12-06,Drywall-A,8,8,106,0,"Ahead of schedule, inspection passed.",0,0
2024-12-07,Drywall-A,7,9,100,0,"Safety talk held this morning, no incidents.",0,0
2024-12-08,Drywall-A,6,8,105,0,"Ahead of schedule, inspection passed.",0,0
2024-12-09,Drywall-A,5,8,116,0,"Ahead of schedule, inspection passed.",0,0
2024-12-10,Drywall-A,5,8,107,0,"Great weather, slab pour went perfectly.",0,0
2024-12-11,Drywall-A,7,9,115,0,"Productive day, finished Zone A early.",0,0
2024-12-12,Drywall-A,8,8,110,0,"Productive day, finished Zone A early.",0,0
2024-12-13,Drywall-A,5,9,106,0,"Team is in good rhythm, no safety issues.",0,0
2024-12-14,Drywall-A,7,9,108,0,"Team is in good rhythm, no safety issues.",0,0
2024-12-15,Drywall-A,7,9,120,0,"Ahead of schedule, inspection passed.",0,0
2024-12-16,Drywall-A,5,9,100,0,"Team is in good rhythm, no safety issues.",0,0
2024-12-17,Drywall-A,7,8,104,0,"Great weather, slab pour went perfectly.",0,0
2024-12-18,Drywall-A,6,9,81,0,Routine install in Zone B.,0,0
2024-12-19,Drywall-A,5,8,117,0,"Great weather, slab pour went perfectly.",0,0
2024-12-20,Drywall-A,8,9,80,0,"Weather overcast, work continuing.",0,0
2024-12-21,Drywall-A,7,10,89,0,"Standard progress, nothing to report.",0,0
2024-12-22,Drywall-A,5,12,63,2,"Confusion on drawings for HVAC, had to stop work.",1,3349
2024-12-23,Drywall-A,7,8,86,2,"Safety talk held this morning, no incidents.",0,0
2024-12-24,Drywall-A,5,8,107,1,"Ahead of schedule, inspection passed.",0,0
2024-12-25,Drywall-A,6,8,103,0,"Ahead of schedule, inspection passed.",0,0
2024-12-26,Drywall-A,5,9,118,0,"Productive day, finished Zone A early.",0,0
2024-12-27,Drywall-A,7,9,101,0,"Great weather, slab pour went perfectly.",0,0
2024-12-28,Drywall-A,5,8,108,0,"Productive day, finished Zone A early.",0,0
2024-12-29,Drywall-A,7,11,68,2,"Confusion on drawings for HVAC, had to stop work.",0,0
2024-12-30,Drywall-A,8,10,83,2,"Safety talk held this morning, no incidents.",0,0
2024-01-01,Drywall-B,5,9,112,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-02,Drywall-B,8,8,80,0,"Safety talk held this morning, no incidents.",0,0
2024-01-03,Drywall-B,6,14,48,2,"Material delivery late, caused bottleneck.",0,4211
2024-01-04,Drywall-B,6,10,85,2,"Weather overcast, work continuing.",0,0
2024-01-05,Drywall-B,8,10,81,2,"Safety talk held this morning, no incidents.",0,0
2024-01-06,Drywall-B,8,8,103,1,"Crew moving fast, materials arrived on time.",0,0
2024-01-07,Drywall-B,5,10,100,1,"Standard progress, nothing to report.",0,0
2024-01-08,Drywall-B,7,9,85,1,"Crew size normal, steady pace.",0,0
2024-01-09,Drywall-B,5,10,41,3,"Rework needed on wall framing, incorrect specs.",0,0
2024-01-10,Drywall-B,8,9,119,2,"Team is in good rhythm, no safety issues.",0,0
2024-01-11,Drywall-B,7,8,108,1,"Great weather, slab pour went perfectly.",0,0
2024-01-12,Drywall-B,5,10,57,3,"Waiting on RFI response, crew standing around.",0,0
2024-01-13,Drywall-B,5,10,84,3,"Safety talk held this morning, no incidents.",0,0
2024-01-14,Drywall-B,5,9,120,2,"Great weather, slab pour went perfectly.",0,0
2024-01-15,Drywall-B,6,9,107,1,"Crew moving fast, materials arrived on time.",0,0
2024-01-16,Drywall-B,8,9,90,1,"Standard progress, nothing to report.",0,0
2024-01-17,Drywall-B,6,9,82,1,"Safety talk held this morning, no incidents.",0,0
2024-01-18,Drywall-B,8,8,114,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-19,Drywall-B,7,13,70,2,"Rain delay caused slip hazards, slowed down install.",0,0
2024-01-20,Drywall-B,7,9,107,1,"Great weather, slab pour went perfectly.",0,0
2024-01-21,Drywall-B,7,8,107,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-22,Drywall-B,5,9,83,0,Routine install in Zone B.,0,0
2024-01-23,Drywall-B,8,9,105,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-24,Drywall-B,8,8,113,0,"Crew moving fast, materials arrived on time.",0,0
2024-01-25,Drywall-B,5,13,42,2,"Crew exhausted from overtime, morale is low.",0,0
2024-01-26,Drywall-B,8,10,88,2,"Safety talk held this morning, no incidents.",0,0
2024-01-27,Drywall-B,5,9,114,1,"Crew moving fast, materials arrived on time.",0,0
2024-01-28,Drywall-B,5,9,111,0,"Crew moving fast, materials arrived on time.",0,0
2024-01-29,Drywall-B,5,8,120,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-30,Drywall-B,7,9,97,0,Routine install in Zone B.,0,0
2024-01-31,Drywall-B,7,14,41,2,"Rework needed on wall framing, incorrect specs.",1,2475
2024-02-01,Drywall-B,8,9,93,2,Routine install in Zone B.,0,0
2024-02-02,Drywall-B,5,8,115,1,"Crew moving fast, materials arrived on time.",0,0
2024-02-03,Drywall-B,6,8,110,0,"Ahead of schedule, inspection passed.",0,0
2024-02-04,Drywall-B,5,9,100,0,"Team is in good rhythm, no safety issues.",0,0
2024-02-05,Drywall-B,5,14,61,2,"Rain delay caused slip hazards, slowed down install.",0,3694
2024-02-06,Drywall-B,5,8,103,1,"Great weather, slab pour went perfectly.",0,0
2024-02-07,Drywall-B,6,9,102,0,"Crew moving fast, materials arrived on time.",0,0
2024-02-08,Drywall-B,8,14,61,2,Argument with sub trade over laydown area.,0,0
2024-02-09,Drywall-B,6,13,54,4,"Waiting on RFI response, crew standing around.",1,2027
2024-02-10,Drywall-B,7,9,106,3,"Great weather, slab pour went perfectly.",0,0
2024-02-11,Drywall-B,5,9,88,3,"Weather overcast, work continuing.",0,0
2024-02-12,Drywall-B,7,9,109,2,"Ahead of schedule, inspection passed.",0,0
2024-02-13,Drywall-B,6,12,65,4,"Confusion on drawings for HVAC, had to stop work.",0,3133
2024-02-14,Drywall-B,7,8,101,3,"Team is in good rhythm, no safety issues.",0,0
2024-02-15,Drywall-B,7,8,98,3,"Weather overcast, work continuing.",0,0
2024-02-16,Drywall-B,8,9,97,3,"Crew size normal, steady pace.",0,0
2024-02-17,Drywall-B,7,9,114,2,"Crew moving fast, materials arrived on time.",0,0
2024-02-18,Drywall-B,8,10,84,2,"Safety talk held this morning, no incidents.",0,0
2024-02-19,Drywall-B,5,8,113,1,"Crew moving fast, materials arrived on time.",0,0
2024-02-20,Drywall-B,6,9,103,0,"Crew moving fast, materials arrived on time.",0,0
2024-02-21,Drywall-B,6,9,118,0,"Ahead of schedule, inspection passed.",0,0
2024-02-22,Drywall-B,7,11,53,2,"Rework needed on wall framing, incorrect specs.",0,0
2024-02-23,Drywall-B,8,14,41,4,"Crew exhausted from overtime, morale is low.",1,4005
2024-02-24,Drywall-B,7,10,57,6,"Rain delay caused slip hazards, slowed down install.",1,4936
2024-02-25,Drywall-B,7,9,106,5,"Team is in good rhythm, no safety issues.",0,0
2024-02-26,Drywall-B,7,9,112,4,"Team is in good rhythm, no safety issues.",0,0
2024-02-27,Drywall-B,7,9,103,3,"Productive day, finished Zone A early.",0,0
2024-02-28,Drywall-B,8,9,113,2,"Crew moving fast, materials arrived on time.",0,0
2024-02-29,Drywall-B,5,12,44,4,Argument with sub trade over laydown area.,1,3442
2024-03-01,Drywall-B,5,10,89,4,"Weather overcast, work continuing.",0,0
2024-03-02,Drywall-B,6,8,83,4,"Safety talk held this morning, no incidents.",0,0
2024-03-03,Drywall-B,6,12,68,6,"Waiting on RFI response, crew standing around.",0,4400
2024-03-04,Drywall-B,8,8,116,5,"Productive day, finished Zone A early.",0,0
2024-03-05,Drywall-B,5,9,100,4,"Productive day, finished Zone A early.",0,0
2024-03-06,Drywall-B,5,9,106,3,"Ahead of schedule, inspection passed.",0,0
2024-03-07,Drywall-B,8,8,89,3,"Crew size normal, steady pace.",0,0
2024-03-08,Drywall-B,6,8,96,3,"Standard progress, nothing to report.",0,0
2024-03-09,Drywall-B,6,8,105,2,"Productive day, finished Zone A early.",0,0
2024-03-10,Drywall-B,8,9,111,1,"Productive day, finished Zone A early.",0,0
2024-03-11,Drywall-B,7,8,101,0,"Crew moving fast, materials arrived on time.",0,0
2024-03-12,Drywall-B,5,9,100,0,"Crew moving fast, materials arrived on time.",0,0
2024-03-13,Drywall-B,7,9,105,0,"Crew moving fast, materials arrived on time.",0,0
2024-03-14,Drywall-B,8,10,100,0,"Standard progress, nothing to report.",0,0
2024-03-15,Drywall-B,7,9,99,0,Routine install in Zone B.,0,0
2024-03-16,Drywall-B,6,9,108,0,"Team is in good rhythm, no safety issues.",0,0
2024-03-17,Drywall-B,6,8,84,0,"Weather overcast, work continuing.",0,0
2024-03-18,Drywall-B,6,10,94,0,Routine install in Zone B.,0,0
2024-03-19,Drywall-B,7,9,86,0,"Standard progress, nothing to report.",0,0
2024-03-20,Drywall-B,6,10,89,0,"Standard progress, nothing to report.",0,0
2024-03-21,Drywall-B,6,8,87,0,"Standard progress, nothing to report.",0,0
2024-03-22,Drywall-B,7,9,114,0,"Productive day, finished Zone A early.",0,0
2024-03-23,Drywall-B,6,10,47,2,"Confusion on drawings for HVAC, had to stop work.",0,2342
2024-03-24,Drywall-B,7,8,82,2,"Safety talk held this morning, no incidents.",0,0
2024-03-25,Drywall-B,8,10,97,2,"Crew size normal, steady pace.",0,0
2024-03-26,Drywall-B,5,10,42,4,"Confusion on drawings for HVAC, had to stop work.",1,3489
2024-03-27,Drywall-B,7,10,67,6,Argument with sub trade over laydown area.,1,0
2024-03-28,Drywall-B,5,8,88,6,"Standard progress, nothing to report.",0,0
2024-03-29,Drywall-B,6,8,80,6,Routine install in Zone B.,0,0
2024-03-30,Drywall-B,7,8,114,5,"Productive day, finished Zone A early.",0,0
2024-03-31,Drywall-B,6,9,120,4,"Productive day, finished Zone A early.",0,0
2024-04-01,Drywall-B,5,8,105,3,"Great weather, slab pour went perfectly.",0,0
2024-04-02,Drywall-B,7,13,68,5,"Material delivery late, caused bottleneck.",1,0
2024-04-03,Drywall-B,7,8,108,4,"Great weather, slab pour went perfectly.",0,0
2024-04-04,Drywall-B,7,8,120,3,"Team is in good rhythm, no safety issues.",0,0
2024-04-05,Drywall-B,7,9,119,2,"Crew moving fast, materials arrived on time.",0,0
2024-04-06,Drywall-B,6,11,66,4,"Material delivery late, caused bottleneck.",0,3709
2024-04-07,Drywall-B,6,11,53,6,"Rain delay caused slip hazards, slowed down install.",0,2494
2024-04-08,Drywall-B,5,8,82,6,"Weather overcast, work continuing.",0,0
2024-04-09,Drywall-B,8,9,117,5,"Team is in good rhythm, no safety issues.",0,0
2024-04-10,Drywall-B,8,9,106,4,"Productive day, finished Zone A early.",0,0
2024-04-11,Drywall-B,5,8,105,3,"Ahead of schedule, inspection passed.",0,0
2024-04-12,Drywall-B,5,8,108,2,"Ahead of schedule, inspection passed.",0,0
2024-04-13,Drywall-B,5,8,113,1,"Ahead of schedule, inspection passed.",0,0
2024-04-14,Drywall-B,6,8,116,0,"Team is in good rhythm, no safety issues.",0,0
2024-04-15,Drywall-B,7,9,114,0,"Team is in good rhythm, no safety issues.",0,0
2024-04-16,Drywall-B,8,8,102,0,"Great weather, slab pour went perfectly.",0,0
2024-04-17,Drywall-B,7,8,115,0,"Crew moving fast, materials arrived on time.",0,0
2024-04-18,Drywall-B,6,9,102,0,"Great weather, slab pour went perfectly.",0,0
2024-04-19,Drywall-B,6,13,60,2,"Crew exhausted from overtime, morale is low.",1,2605
2024-04-20,Drywall-B,7,10,86,2,"Crew size normal, steady pace.",0,0
2024-04-21,Drywall-B,6,8,112,1,"Team is in good rhythm, no safety issues.",0,0
2024-04-22,Drywall-B,5,8,115,0,"Great weather, slab pour went perfectly.",0,0
2024-04-23,Drywall-B,6,9,107,0,"Great weather, slab pour went perfectly.",0,0
2024-04-24,Drywall-B,8,8,90,0,"Standard progress, nothing to report.",0,0
2024-04-25,Drywall-B,5,9,120,0,"Productive day, finished Zone A early.",0,0
2024-04-26,Drywall-B,7,9,105,0,"Team is in good rhythm, no safety issues.",0,0
2024-04-27,Drywall-B,8,8,80,0,"Safety talk held this morning, no incidents.",0,0
2024-04-28,Drywall-B,8,9,101,0,"Productive day, finished Zone A early.",0,0
2024-04-29,Drywall-B,5,8,113,0,"Productive day, finished Zone A early.",0,0
2024-04-30,Drywall-B,5,9,88,0,"Safety talk held this morning, no incidents.",0,0
2024-05-01,Drywall-B,5,14,41,2,Argument with sub trade over laydown area.,0,4389
2024-05-02,Drywall-B,6,11,55,4,"Crew exhausted from overtime, morale is low.",0,0
2024-05-03,Drywall-B,7,9,116,3,"Team is in good rhythm, no safety issues.",0,0
2024-05-04,Drywall-B,5,10,99,3,"Crew size normal, steady pace.",0,0
2024-05-05,Drywall-B,5,9,110,2,"Productive day, finished Zone A early.",0,0
2024-05-06,Drywall-B,8,9,92,2,"Safety talk held this morning, no incidents.",0,0
2024-05-07,Drywall-B,5,8,109,1,"Great weather, slab pour went perfectly.",0,0
2024-05-08,Drywall-B,7,8,83,1,"Standard progress, nothing to report.",0,0
2024-05-09,Drywall-B,7,9,106,0,"Great weather, slab pour went perfectly.",0,0
2024-05-10,Drywall-B,8,9,116,0,"Great weather, slab pour went perfectly.",0,0
2024-05-11,Drywall-B,7,10,96,0,Routine install in Zone B.,0,0
2024-05-12,Drywall-B,7,8,119,0,"Productive day, finished Zone A early.",0,0
2024-05-13,Drywall-B,7,9,106,0,"Ahead of schedule, inspection passed.",0,0
2024-05-14,Drywall-B,6,9,110,0,"Team is in good rhythm, no safety issues.",0,0
2024-05-15,Drywall-B,7,14,52,2,"Waiting on RFI response, crew standing around.",1,0
2024-05-16,Drywall-B,5,10,47,4,"Material delivery late, caused bottleneck.",0,1614
2024-05-17,Drywall-B,6,8,101,3,"Team is in good rhythm, no safety issues.",0,0
2024-05-18,Drywall-B,8,10,47,5,"Rain delay caused slip hazards, slowed down install.",0,0
2024-05-19,Drywall-B,6,10,53,7,"Confusion on drawings for HVAC, had to stop work.",0,972
2024-05-20,Drywall-B,5,8,110,6,"Productive day, finished Zone A early.",0,0
2024-05-21,Drywall-B,8,10,51,8,"Rain delay caused slip hazards, slowed down install.",0,0
2024-05-22,Drywall-B,8,8,82,8,"Weather overcast, work continuing.",0,0
2024-05-23,Drywall-B,7,8,97,8,"Safety talk held this morning, no incidents.",0,0
2024-05-24,Drywall-B,7,10,93,8,"Standard progress, nothing to report.",0,0
2024-05-25,Drywall-B,6,9,94,8,"Weather overcast, work continuing.",0,0
2024-05-26,Drywall-B,5,8,104,7,"Team is in good rhythm, no safety issues.",0,0
2024-05-27,Drywall-B,6,10,81,7,Routine install in Zone B.,0,0
2024-05-28,Drywall-B,8,8,84,7,"Standard progress, nothing to report.",0,0
2024-05-29,Drywall-B,7,8,90,7,"Standard progress, nothing to report.",0,0
2024-05-30,Drywall-B,7,8,112,6,"Team is in good rhythm, no safety issues.",0,0
2024-05-31,Drywall-B,7,13,64,8,"Material delivery late, caused bottleneck.",0,3793
2024-06-01,Drywall-B,6,14,67,10,Argument with sub trade over laydown area.,1,0
2024-06-02,Drywall-B,6,11,43,12,Argument with sub trade over laydown area.,0,0
2024-06-03,Drywall-B,5,8,93,12,"Weather overcast, work continuing.",0,0
2024-06-04,Drywall-B,7,9,95,12,"Weather overcast, work continuing.",0,0
2024-06-05,Drywall-B,5,8,112,11,"Great weather, slab pour went perfectly.",0,0
2024-06-06,Drywall-B,6,9,82,11,"Standard progress, nothing to report.",0,0
2024-06-07,Drywall-B,8,9,113,10,"Crew moving fast, materials arrived on time.",0,0
2024-06-08,Drywall-B,8,8,102,9,"Team is in good rhythm, no safety issues.",0,0
2024-06-09,Drywall-B,8,8,105,8,"Great weather, slab pour went perfectly.",0,0
2024-06-10,Drywall-B,7,8,85,8,"Weather overcast, work continuing.",0,0
2024-06-11,Drywall-B,8,9,119,7,"Productive day, finished Zone A early.",0,0
2024-06-12,Drywall-B,6,8,86,7,"Weather overcast, work continuing.",0,0
2024-06-13,Drywall-B,6,8,105,6,"Great weather, slab pour went perfectly.",0,0
2024-06-14,Drywall-B,8,11,64,8,"Waiting on RFI response, crew standing around.",0,2180
2024-06-15,Drywall-B,6,10,91,8,"Crew size normal, steady pace.",0,0
2024-06-16,Drywall-B,7,13,47,10,"Material delivery late, caused bottleneck.",0,0
2024-06-17,Drywall-B,8,10,56,12,Argument with sub trade over laydown area.,0,0
2024-06-18,Drywall-B,5,9,100,11,"Great weather, slab pour went perfectly.",0,0
2024-06-19,Drywall-B,8,10,68,13,"Rework needed on wall framing, incorrect specs.",0,0
2024-06-20,Drywall-B,5,9,102,12,"Crew moving fast, materials arrived on time.",0,0
2024-06-21,Drywall-B,5,9,110,11,"Team is in good rhythm, no safety issues.",0,0
2024-06-22,Drywall-B,8,10,83,11,Routine install in Zone B.,0,0
2024-06-23,Drywall-B,8,11,48,13,"Rain delay caused slip hazards, slowed down install.",1,3569
2024-06-24,Drywall-B,8,9,84,13,Routine install in Zone B.,0,0
2024-06-25,Drywall-B,5,9,80,13,"Weather overcast, work continuing.",0,0
2024-06-26,Drywall-B,5,8,90,13,"Crew size normal, steady pace.",0,0
2024-06-27,Drywall-B,6,8,97,13,"Crew size normal, steady pace.",0,0
2024-06-28,Drywall-B,8,8,119,12,"Great weather, slab pour went perfectly.",0,0
2024-06-29,Drywall-B,5,9,89,12,"Standard progress, nothing to report.",0,0
2024-06-30,Drywall-B,6,8,106,11,"Productive day, finished Zone A early.",0,0
2024-07-01,Drywall-B,8,9,95,11,"Safety talk held this morning, no incidents.",0,0
2024-07-02,Drywall-B,8,14,50,13,"Confusion on drawings for HVAC, had to stop work.",0,1896
2024-07-03,Drywall-B,8,8,105,12,"Ahead of schedule, inspection passed.",0,0
2024-07-04,Drywall-B,6,8,90,12,"Standard progress, nothing to report.",0,0
2024-07-05,Drywall-B,5,10,88,12,"Safety talk held this morning, no incidents.",0,0
2024-07-06,Drywall-B,6,10,89,12,"Standard progress, nothing to report.",0,0
2024-07-07,Drywall-B,8,9,119,11,"Crew moving fast, materials arrived on time.",0,0
2024-07-08,Drywall-B,8,14,68,13,"Crew exhausted from overtime, morale is low.",0,0
2024-07-09,Drywall-B,7,8,118,12,"Ahead of schedule, inspection passed.",0,0
2024-07-10,Drywall-B,7,8,119,11,"Crew moving fast, materials arrived on time.",0,0
2024-07-11,Drywall-B,6,10,44,13,"Material delivery late, caused bottleneck.",0,0
2024-07-12,Drywall-B,7,8,89,13,"Crew size normal, steady pace.",0,0
2024-07-13,Drywall-B,5,10,83,13,Routine install in Zone B.,0,0
2024-07-14,Drywall-B,6,8,103,12,"Great weather, slab pour went perfectly.",0,0
2024-07-15,Drywall-B,8,10,81,12,"Weather overcast, work continuing.",0,0
2024-07-16,Drywall-B,8,8,84,12,"Standard progress, nothing to report.",0,0
2024-07-17,Drywall-B,5,8,112,11,"Productive day, finished Zone A early.",0,0
2024-07-18,Drywall-B,5,9,81,11,Routine install in Zone B.,0,0
2024-07-19,Drywall-B,7,9,100,10,"Ahead of schedule, inspection passed.",0,0
2024-07-20,Drywall-B,6,9,108,9,"Productive day, finished Zone A early.",0,0
2024-07-21,Drywall-B,5,8,81,9,"Standard progress, nothing to report.",0,0
2024-07-22,Drywall-B,6,9,110,8,"Team is in good rhythm, no safety issues.",0,0
2024-07-23,Drywall-B,6,8,95,8,"Standard progress, nothing to report.",0,0
2024-07-24,Drywall-B,7,8,108,7,"Team is in good rhythm, no safety issues.",0,0
2024-07-25,Drywall-B,7,8,99,7,"Safety talk held this morning, no incidents.",0,0
2024-07-26,Drywall-B,7,14,62,9,Argument with sub trade over laydown area.,0,3858
2024-07-27,Drywall-B,5,9,91,9,"Standard progress, nothing to report.",0,0
2024-07-28,Drywall-B,5,10,88,9,"Weather overcast, work continuing.",0,0
2024-07-29,Drywall-B,5,9,106,8,"Crew moving fast, materials arrived on time.",0,0
2024-07-30,Drywall-B,6,8,104,7,"Productive day, finished Zone A early.",0,0
2024-07-31,Drywall-B,5,13,70,9,Argument with sub trade over laydown area.,0,0
2024-08-01,Drywall-B,7,11,61,11,"Crew exhausted from overtime, morale is low.",1,0
2024-08-02,Drywall-B,8,8,109,10,"Great weather, slab pour went perfectly.",0,0
2024-08-03,Drywall-B,8,8,109,9,"Ahead of schedule, inspection passed.",0,0
2024-08-04,Drywall-B,6,9,100,8,"Team is in good rhythm, no safety issues.",0,0
2024-08-05,Drywall-B,7,9,118,7,"Great weather, slab pour went perfectly.",0,0
2024-08-06,Drywall-B,8,9,119,6,"Great weather, slab pour went perfectly.",0,0
2024-08-07,Drywall-B,8,8,118,5,"Team is in good rhythm, no safety issues.",0,0
2024-08-08,Drywall-B,7,9,112,4,"Ahead of schedule, inspection passed.",0,0
2024-08-09,Drywall-B,6,12,56,6,"Rework needed on wall framing, incorrect specs.",1,2603
2024-08-10,Drywall-B,5,9,117,5,"Ahead of schedule, inspection passed.",0,0
2024-08-11,Drywall-B,6,8,110,4,"Great weather, slab pour went perfectly.",0,0
2024-08-12,Drywall-B,8,9,81,4,"Crew size normal, steady pace.",0,0
2024-08-13,Drywall-B,5,8,110,3,"Team is in good rhythm, no safety issues.",0,0
2024-08-14,Drywall-B,6,8,106,2,"Team is in good rhythm, no safety issues.",0,0
2024-08-15,Drywall-B,5,9,82,2,"Standard progress, nothing to report.",0,0
2024-08-16,Drywall-B,7,14,55,4,"Crew exhausted from overtime, morale is low.",1,989
2024-08-17,Drywall-B,8,9,114,3,"Team is in good rhythm, no safety issues.",0,0
2024-08-18,Drywall-B,6,9,112,2,"Crew moving fast, materials arrived on time.",0,0
2024-08-19,Drywall-B,5,8,92,2,Routine install in Zone B.,0,0
2024-08-20,Drywall-B,7,8,100,1,"Team is in good rhythm, no safety issues.",0,0
2024-08-21,Drywall-B,6,12,43,3,"Material delivery late, caused bottleneck.",0,2491
2024-08-22,Drywall-B,5,8,108,2,"Team is in good rhythm, no safety issues.",0,0
2024-08-23,Drywall-B,7,9,110,1,"Ahead of schedule, inspection passed.",0,0
2024-08-24,Drywall-B,8,8,89,1,"Crew size normal, steady pace.",0,0
2024-08-25,Drywall-B,8,9,108,0,"Great weather, slab pour went perfectly.",0,0
2024-08-26,Drywall-B,5,8,115,0,"Ahead of schedule, inspection passed.",0,0
2024-08-27,Drywall-B,6,9,110,0,"Team is in good rhythm, no safety issues.",0,0
2024-08-28,Drywall-B,6,9,94,0,"Safety talk held this morning, no incidents.",0,0
2024-08-29,Drywall-B,7,10,84,0,"Safety talk held this morning, no incidents.",0,0
2024-08-30,Drywall-B,7,11,63,2,"Rework needed on wall framing, incorrect specs.",0,1360
2024-08-31,Drywall-B,5,8,95,2,"Weather overcast, work continuing.",0,0
2024-09-01,Drywall-B,8,8,119,1,"Productive day, finished Zone A early.",0,0
2024-09-02,Drywall-B,5,14,69,3,"Confusion on drawings for HVAC, had to stop work.",0,1982
2024-09-03,Drywall-B,5,14,53,5,"Waiting on RFI response, crew standing around.",0,2647
2024-09-04,Drywall-B,5,8,118,4,"Productive day, finished Zone A early.",0,0
2024-09-05,Drywall-B,6,9,87,4,Routine install in Zone B.,0,0
2024-09-06,Drywall-B,5,9,111,3,"Ahead of schedule, inspection passed.",0,0
2024-09-07,Drywall-B,6,13,53,5,"Crew exhausted from overtime, morale is low.",0,3910
2024-09-08,Drywall-B,6,10,82,5,"Standard progress, nothing to report.",0,0
2024-09-09,Drywall-B,6,9,104,4,"Great weather, slab pour went perfectly.",0,0
2024-09-10,Drywall-B,8,9,86,4,"Safety talk held this morning, no incidents.",0,0
2024-09-11,Drywall-B,6,9,117,3,"Crew moving fast, materials arrived on time.",0,0
2024-09-12,Drywall-B,7,14,60,5,"Confusion on drawings for HVAC, had to stop work.",0,1990
2024-09-13,Drywall-B,5,9,104,4,"Ahead of schedule, inspection passed.",0,0
2024-09-14,Drywall-B,8,10,45,6,"Confusion on drawings for HVAC, had to stop work.",1,0
2024-09-15,Drywall-B,6,8,120,5,"Crew moving fast, materials arrived on time.",0,0
2024-09-16,Drywall-B,8,8,114,4,"Productive day, finished Zone A early.",0,0
2024-09-17,Drywall-B,7,9,117,3,"Ahead of schedule, inspection passed.",0,0
2024-09-18,Drywall-B,5,14,64,5,"Waiting on RFI response, crew standing around.",0,2257
2024-09-19,Drywall-B,7,9,112,4,"Productive day, finished Zone A early.",0,0
2024-09-20,Drywall-B,5,9,118,3,"Crew moving fast, materials arrived on time.",0,0
2024-09-21,Drywall-B,6,9,87,3,"Weather overcast, work continuing.",0,0
2024-09-22,Drywall-B,8,8,117,2,"Productive day, finished Zone A early.",0,0
2024-09-23,Drywall-B,8,8,109,1,"Great weather, slab pour went perfectly.",0,0
2024-09-24,Drywall-B,7,9,82,1,"Weather overcast, work continuing.",0,0
2024-09-25,Drywall-B,7,8,83,1,"Weather overcast, work continuing.",0,0
2024-09-26,Drywall-B,7,9,100,1,"Crew size normal, steady pace.",0,0
2024-09-27,Drywall-B,7,9,100,0,"Productive day, finished Zone A early.",0,0
2024-09-28,Drywall-B,6,9,103,0,"Team is in good rhythm, no safety issues.",0,0
2024-09-29,Drywall-B,8,9,80,0,"Safety talk held this morning, no incidents.",0,0
2024-09-30,Drywall-B,5,9,116,0,"Productive day, finished Zone A early.",0,0
2024-10-01,Drywall-B,5,8,82,0,"Standard progress, nothing to report.",0,0
2024-10-02,Drywall-B,5,10,93,0,Routine install in Zone B.,0,0
2024-10-03,Drywall-B,5,10,80,0,"Weather overcast, work continuing.",0,0
2024-10-04,Drywall-B,5,8,106,0,"Productive day, finished Zone A early.",0,0
2024-10-05,Drywall-B,5,9,88,0,"Safety talk held this morning, no incidents.",0,0
2024-10-06,Drywall-B,8,9,91,0,"Weather overcast, work continuing.",0,0
2024-10-07,Drywall-B,8,9,114,0,"Team is in good rhythm, no safety issues.",0,0
2024-10-08,Drywall-B,6,8,86,0,"Weather overcast, work continuing.",0,0
2024-10-09,Drywall-B,5,9,82,0,"Crew size normal, steady pace.",0,0
2024-10-10,Drywall-B,7,8,94,0,"Crew size normal, steady pace.",0,0
2024-10-11,Drywall-B,8,11,52,2,"Waiting on RFI response, crew standing around.",1,0
2024-10-12,Drywall-B,8,9,120,1,"Team is in good rhythm, no safety issues.",0,0
2024-10-13,Drywall-B,8,8,105,0,"Crew moving fast, materials arrived on time.",0,0
2024-10-14,Drywall-B,8,8,103,0,"Productive day, finished Zone A early.",0,0
